"TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.1","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.2","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.3","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.4","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.5","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.6","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.7","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.8","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.9","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.10","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.11"
Area,Measles,Measles,Measles,Measles,Measles,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,
Area,Measles,Measles,Measles,Measles,Measles,All serogroups,"Serogroup A, C, Y, and W-135",SerogroupB,Otherserogroup,Unknown serogroup,Mumps
Area,Total,Indigenous,Indigenous,Indigenous,Imported¶¶,All serogroups,"Serogroup A, C, Y, and W-135",SerogroupB,Otherserogroup,Unknown serogroup,Mumps
United States,71,71,51,20,20,980,301,174,23,482,1991
New England,2,2,1,1,1,35,19,6,4,6,27
Connecticut,---,---,---,---,---,7,4,1,---,2,1
Maine,---,---,---,---,---,4,2,---,2,---,6
Massachusetts,2,2,1,1,1,16,9,5,---,2,15
New Hampshire,---,---,---,---,---,3,1,---,---,2,---
Rhode Island,---,---,---,---,---,4,3,---,1,---,3
Vermont,---,---,---,---,---,1,---,---,1,---,2
Mid. Atlantic,34,34,29,5,5,110,25,32,---,53,1668
New Jersey,2,2,2,---,---,19,---,---,---,19,200
New York (Upstate),---,---,---,---,---,27,12,9,---,6,647
New York City,18,18,15,3,3,17,---,---,---,17,806
Pennsylvania,14,14,12,2,2,47,13,23,---,11,15
E.N. Central,1,1,1,---,---,169,54,43,2,70,75
Illinois,---,---,---,---,---,47,---,---,---,47,47
Indiana,---,---,---,---,---,34,17,15,2,---,2
Michigan,---,---,---,---,---,21,11,5,---,5,11
Ohio,1,1,1,---,---,43,14,13,---,16,6
Wisconsin,---,---,---,---,---,24,12,10,---,2,9
W.N. Central,8,8,8,---,---,90,19,11,2,58,53
Iowa,1,1,1,---,---,15,9,4,2,---,15
Kansas,---,---,---,---,---,14,---,---,---,14,7
Minnesota,1,1,1,---,---,16,7,6,---,3,7
Missouri,6,6,6,---,---,27,---,---,---,27,15
