"TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2010","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2010","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2010","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2010","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2010","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2010","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2010","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2010","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2010","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2010"
Area,Lyme disease,Lyme disease,Lyme disease,Malaria,Measles,Measles,Measles,Measles,Measles
Area,Total,Confirmed,Probable,Malaria,Total,Indigenous,Indigenous.1,Indigenous.2,Imported†
United States,30158,22561,7597,1773,63,63,23,40,40
New England,8958,6119,2839,124,4,4,2,2,2
Connecticut,3068,1964,1104,22,1,1,1,—,—
Maine,751,559,192,6,—,—,—,—,—
Massachusetts,3263,2380,883,73,3,3,1,2,2
New Hampshire,1339,830,509,5,—,—,—,—,—
Rhode Island,181,115,66,15,—,—,—,—,—
Vermont,356,271,85,3,—,—,—,—,—
Mid. Atlantic,10942,9003,1939,519,10,10,—,10,10
New Jersey,3712,3320,392,106,—,—,—,—,—
New York (Upstate),2698,1972,726,81,2,2,—,2,2
New York City,727,413,314,271,6,6,—,6,6
Pennsylvania,3805,3298,507,61,2,2,—,2,2
E.N. Central,3840,2799,1041,164,2,2,1,1,1
Illinois,135,135,—,60,—,—,—,—,—
Indiana,78,62,16,15,—,—,—,—,—
Michigan,95,76,19,31,—,—,—,—,—
Ohio,44,21,23,43,2,2,1,1,1
Wisconsin,3488,2505,983,15,—,—,—,—,—
W.N. Central,2101,1401,700,115,6,6,5,1,1
Iowa,85,68,17,14,—,—,—,—,—
Kansas,10,7,3,13,—,—,—,—,—
Minnesota,1960,1293,667,48,3,3,2,1,1
Missouri,4,4,—,21,3,3,3,—,—
Nebraska,8,7,1,15,—,—,—,—,—
North Dakota,33,21,12,1,—,—,—,—,—
South Dakota,1,1,—,3,—,—,—,—,—
S. Atlantic,3910,2998,912,452,5,5,1,4,4
Delaware,656,656,—,2,—,—,—,—,—
District of Columbia,42,34,8,13,—,—,—,—,—
Florida,84,56,28,139,1,1,—,1,1
Georgia,10,10,—,71,1,1,—,1,1
Maryland,1617,1163,454,99,—,—,—,—,—
North Carolina,82,21,61,52,—,—,—,—,—
South Carolina,29,19,10,6,—,—,—,—,—
Virginia,1245,911,334,67,3,3,1,2,2
West Virginia,145,128,17,3,—,—,—,—,—
E.S. Central,43,12,31,31,1,1,—,1,1
Alabama,2,1,1,9,—,—,—,—,—
Kentucky,5,5,—,8,1,1,—,1,1
Mississippi,—,—,—,2,—,—,—,—,—
Tennessee,36,6,30,12,—,—,—,—,—
W.S. Central,145,57,88,113,—,—,—,—,—
Arkansas,—,—,—,4,—,—,—,—,—
Louisiana,3,2,1,5,—,—,—,—,—
Oklahoma,—,—,—,6,—,—,—,—,—
Texas,142,55,87,98,—,—,—,—,—
Mountain,28,20,8,67,3,3,1,2,2
Arizona,2,2,—,28,1,1,—,1,1
Colorado,3,1,2,21,—,—,—,—,—
Idaho,9,6,3,5,—,—,—,—,—
Montana,4,3,1,3,—,—,—,—,—
Nevada,2,2,—,6,1,1,—,1,1
New Mexico,5,3,2,1,—,—,—,—,—
Utah,3,3,—,3,—,—,—,—,—
Wyoming,—,—,—,—,1,1,1,—,—
Pacific,191,152,39,188,32,32,13,19,19
Alaska,7,7,—,5,—,—,—,—,—
California,129,126,3,126,27,27,9,18,18
Hawaii,N,N,N,4,4,4,4,—,—
Oregon,39,7,32,14,—,—,—,—,—
Washington,16,12,4,39,1,1,—,1,1
Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories
American Samoa,N,N,N,—,—,—,—,—,—
C.N.M.I.,—,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—,—
Puerto Rico,N,N,N,5,—,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—,—
