0,1,2,3,4,5,6,7
"TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2011","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2011","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2011","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2011","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2011","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2011","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2011","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2011"
Area,Lyme disease,Lyme disease,Lyme disease,Malaria,Measles,Measles,Measles
Area,Total,Confirmed,Probable,Malaria,Total,Indigenous,Imported†
United States,33097,24364,8733,1724,220,140,80
New England,8602,6080,2522,109,28,18,10
Connecticut,3039,2004,1035,20,1,—,1
Maine,1006,801,205,6,—,—,—
Massachusetts,2476,1801,675,68,24,17,7
New Hampshire,1299,887,412,3,1,—,1
Rhode Island,159,111,48,6,1,—,1
Vermont,623,476,147,6,1,1,—
Mid. Atlantic,14114,11255,2859,438,49,35,14
New Jersey,4262,3398,864,97,4,3,1
New York (Upstate),3759,2678,1081,53,7,4,3
New York City,731,440,291,227,25,16,9
Pennsylvania,5362,4739,623,61,13,12,1
E.N. Central,4094,2808,1286,174,21,15,6
Illinois,194,194,—,66,3,1,2
Indiana,94,81,13,14,14,13,1
Michigan,104,89,15,34,2,1,1
Ohio,53,36,17,41,—,—,—
Wisconsin,3649,2408,1241,19,2,—,2
W.N. Central,2291,1304,987,109,34,30,4
Iowa,100,72,28,22,1,—,1
Kansas,17,11,6,10,6,6,—
Minnesota,2124,1185,939,46,26,23,3
Missouri,8,5,3,21,—,—,—
Nebraska,11,7,4,8,—,—,—
North Dakota,27,22,5,—,1,1,—
South Dakota,4,2,2,2,—,—,—
S. Atlantic,3637,2720,917,478,20,7,13
Delaware,873,767,106,7,1,1,—
District of Columbia,N,—,—,18,N,—,—
Florida,115,78,37,99,8,3,5
Georgia,32,32,—,91,—,—,—
Maryland,1351,938,413,128,2,—,2
North Carolina,88,18,70,49,2,—,2
South Carolina,37,24,13,7,—,—,—
Virginia,1023,756,267,78,7,3,4
West Virginia,118,107,11,1,—,—,—
E.S. Central,69,20,49,41,4,1,3
Alabama,24,9,15,9,—,—,—
Kentucky,3,3,—,10,1,—,1
Mississippi,5,3,2,1,—,—,—
Tennessee,37,5,32,21,3,1,2
W.S. Central,78,31,47,121,6,5,1
Arkansas,—,—,—,7,—,—,—
Louisiana,2,1,1,2,—,—,—
Oklahoma,2,2,—,10,—,—,—
Texas,74,28,46,102,6,5,1
Mountain,52,32,20,67,20,13,7
Arizona,15,8,7,21,2,—,2
Colorado,—,—,—,24,—,—,—
Idaho,4,3,1,2,—,—,—
Montana,11,9,2,2,—,—,—
Nevada,5,3,2,8,1,—,1
New Mexico,6,2,4,5,4,1,3
Utah,9,6,3,5,13,12,1
Wyoming,2,1,1,—,—,—,—
Pacific,160,114,46,187,38,16,22
Alaska,11,9,2,5,—,—,—
California,92,79,13,129,31,12,19
Hawaii,N,N,N,7,—,—,—
Oregon,38,9,29,22,3,2,1
Washington,19,17,2,24,4,2,2
Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories
American Samoa,N,—,—,1,—,—,—
C.N.M.I.,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—
Puerto Rico,N,—,—,1,—,—,—
U.S. Virgin Islands,N,—,—,—,—,—,—
"N: Not reportable U: Unavailable — : No reported cases C.N.M.I.: Commonwealth of Northern Mariana Islands.  *	No cases of diphtheria; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; rubella, congenital syndrome; severe acute respiratory syndrome-associated coronavirus (SARS-CoV) disease; smallpox; vancomycin-resistant Staphylococcus aureus; western equine encephalitis virus disease, neuroinvasive and nonneuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2011. Data on hepatitis B virus, perinatal infection, and chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.  †	Imported cases include only those directly related to importation from other countries.","N: Not reportable U: Unavailable — : No reported cases C.N.M.I.: Commonwealth of Northern Mariana Islands.  *	No cases of diphtheria; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; rubella, congenital syndrome; severe acute respiratory syndrome-associated coronavirus (SARS-CoV) disease; smallpox; vancomycin-resistant Staphylococcus aureus; western equine encephalitis virus disease, neuroinvasive and nonneuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2011. Data on hepatitis B virus, perinatal infection, and chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.  †	Imported cases include only those directly related to importation from other countries.","N: Not reportable U: Unavailable — : No reported cases C.N.M.I.: Commonwealth of Northern Mariana Islands.  *	No cases of diphtheria; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; rubella, congenital syndrome; severe acute respiratory syndrome-associated coronavirus (SARS-CoV) disease; smallpox; vancomycin-resistant Staphylococcus aureus; western equine encephalitis virus disease, neuroinvasive and nonneuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2011. Data on hepatitis B virus, perinatal infection, and chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.  †	Imported cases include only those directly related to importation from other countries.","N: Not reportable U: Unavailable — : No reported cases C.N.M.I.: Commonwealth of Northern Mariana Islands.  *	No cases of diphtheria; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; rubella, congenital syndrome; severe acute respiratory syndrome-associated coronavirus (SARS-CoV) disease; smallpox; vancomycin-resistant Staphylococcus aureus; western equine encephalitis virus disease, neuroinvasive and nonneuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2011. Data on hepatitis B virus, perinatal infection, and chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.  †	Imported cases include only those directly related to importation from other countries.","N: Not reportable U: Unavailable — : No reported cases C.N.M.I.: Commonwealth of Northern Mariana Islands.  *	No cases of diphtheria; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; rubella, congenital syndrome; severe acute respiratory syndrome-associated coronavirus (SARS-CoV) disease; smallpox; vancomycin-resistant Staphylococcus aureus; western equine encephalitis virus disease, neuroinvasive and nonneuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2011. Data on hepatitis B virus, perinatal infection, and chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.  †	Imported cases include only those directly related to importation from other countries.","N: Not reportable U: Unavailable — : No reported cases C.N.M.I.: Commonwealth of Northern Mariana Islands.  *	No cases of diphtheria; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; rubella, congenital syndrome; severe acute respiratory syndrome-associated coronavirus (SARS-CoV) disease; smallpox; vancomycin-resistant Staphylococcus aureus; western equine encephalitis virus disease, neuroinvasive and nonneuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2011. Data on hepatitis B virus, perinatal infection, and chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.  †	Imported cases include only those directly related to importation from other countries.","N: Not reportable U: Unavailable — : No reported cases C.N.M.I.: Commonwealth of Northern Mariana Islands.  *	No cases of diphtheria; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; rubella, congenital syndrome; severe acute respiratory syndrome-associated coronavirus (SARS-CoV) disease; smallpox; vancomycin-resistant Staphylococcus aureus; western equine encephalitis virus disease, neuroinvasive and nonneuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2011. Data on hepatitis B virus, perinatal infection, and chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.  †	Imported cases include only those directly related to importation from other countries.","N: Not reportable U: Unavailable — : No reported cases C.N.M.I.: Commonwealth of Northern Mariana Islands.  *	No cases of diphtheria; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; rubella, congenital syndrome; severe acute respiratory syndrome-associated coronavirus (SARS-CoV) disease; smallpox; vancomycin-resistant Staphylococcus aureus; western equine encephalitis virus disease, neuroinvasive and nonneuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2011. Data on hepatitis B virus, perinatal infection, and chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.  †	Imported cases include only those directly related to importation from other countries."
