Area,Malaria,Measles,Measles,Measles,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease
Area,Malaria,Total,Indigenous,Imported,All serogroups,Serogroups ACWY,Serogroup B,Other serogroups,Unknown serogroup
United States,1390,188,162,26,372,120,111,21,120
New England,92,—,—,—,27,7,14,6,—
Connecticut,12,—,—,—,5,1,2,2,—
Maine,7,—,—,—,4,—,2,2,—
Massachusetts,51,—,—,—,12,6,6,—,—
New Hampshire,6,—,—,—,1,—,—,1,—
Rhode Island,16,—,—,—,4,—,4,—,—
Vermont,—,—,—,—,1,—,—,1,—
Mid. Atlantic,381,11,4,7,34,4,13,—,17
New Jersey,86,3,3,—,8,—,—,—,8
New York (upstate),58,1,—,1,9,2,7,—,—
New York City,200,6,1,5,8,—,—,—,8
Pennsylvania,37,1,—,1,9,2,6,—,1
E. N. Central,121,19,18,1,56,20,27,5,4
Illinois,50,17,17,—,15,10,3,2,—
Indiana,9,—,—,—,6,—,5,1,—
Michigan,20,1,1,—,8,4,2,—,2
Ohio,37,1,—,1,18,3,13,2,—
Wisconsin,5,—,—,—,9,3,4,—,2
W.N. Central,98,8,5,3,27,3,2,1,21
Iowa,17,—,—,—,5,—,1,1,3
Kansas,6,—,—,—,5,2,1,—,2
Minnesota,43,2,—,2,7,—,—,—,7
Missouri,19,1,—,1,7,—,—,—,7
Nebraska,4,3,3,—,2,—,—,—,2
North Dakota,5,—,—,—,—,—,—,—,—
South Dakota,4,2,2,—,1,1,—,—,—
S. Atlantic,336,11,5,6,66,31,16,5,14
Delaware,3,1,—,1,—,—,—,—,—
District of Columbia,17,3,2,1,3,1,—,—,2
Florida,40,5,3,2,23,15,6,1,1
Georgia,56,1,—,1,17,10,1,—,6
Maryland,122,—,—,—,2,1,1,—,—
North Carolina,27,—,—,—,6,3,2,—,1
South Carolina,3,—,—,—,3,—,—,2,1
Virginia,66,1,—,1,10,—,6,2,2
West Virginia,2,—,—,—,2,1,—,—,1
E.S. Central,31,—,—,—,13,3,5,1,4
Alabama,11,—,—,—,6,2,3,—,1
Kentucky,4,—,—,—,3,—,—,—,3
Mississippi,1,—,—,—,—,—,—,—,—
Tennessee,15,—,—,—,4,1,2,1,—
W.S. Central,131,2,—,2,40,18,14,—,8
Arkansas,9,—,—,—,2,2,—,—,—
Louisiana,11,—,—,—,5,1,2,—,2
Oklahoma,12,1,—,1,3,1,2,—,—
Texas,99,1,—,1,30,14,10,—,6
Mountain,58,18,17,1,15,9,2,3,1
Arizona,14,7,7,—,5,3,1,1,—
Colorado,21,1,1,—,4,2,—,1,1
Idaho,6,—,—,—,—,—,—,—,—
Montana,1,—,—,—,1,1,—,—,—
Nevada,6,9,9,—,1,—,—,1,—
New Mexico,3,—,—,—,1,1,—,—,—
Utah,6,1,—,1,2,1,1,—,—
Wyoming,1,—,—,—,1,1,—,—,—
Pacific,142,119,113,6,94,25,18,—,51
Alaska,3,—,—,—,4,4,—,—,—
California,97,109,103,6,46,—,—,—,46
Hawaii,1,—,—,—,4,1,1,—,2
Oregon,20,—,—,—,30,13,14,—,3
Washington,21,10,10,—,10,7,3,—,—
Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories
American Samoa,—,—,—,—,—,—,—,—,—
C.N.M.I.,—,—,—,—,—,—,—,—,—
Guam,—,1,—,1,—,—,—,—,—
Puerto Rico,7,—,—,—,—,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—,—
